"nr_documento","tipo_empresa","cidade","estado","subsegmento","segmento"
"094aaed740bbd7fcddb6c678c18d883a","PJ","Caucaia","CE","Alimentação Rápida","Alimentação"
"eaade7915611fcdcbba747e3a83365c6","PF","Cidade Ocidental","GO","Lojas Diversas","Varejo"
"1f21958fd296f1b04a1f0c2658913856","MEI","Manaus","AM","Alimentação Rápida","Alimentação"
"fcdfe15db4520db1a1fe8b6a72878655","MEI","São Bernardo do Campo","SP","Alimentação Rápida","Alimentação"
"ba57e8837452b5e0114d7e273de039b4","PJ","Foz do Iguaçu","PR","Lojas Diversas","Supermercado/Farmácia"
"fccfcf9e822150a18a853dc8b8513aa9","PJ","Paranavaí","PR","Automotivo","Bens duráveis"
"f2e61554da65b70f98e36fe7e8a9633a","PJ","Mongaguá","SP","Lazer & Turismo","Viagens e entretenimento"
"ad8c01c0291171a4e9cbe11ef55dc9ca","PF","Rio de Janeiro","RJ","Alimentação Rápida","Alimentação"
"c7892d0f843cc3a0af025986ae7ca7b3","PJ","Pontal do Paraná","PR","Postos de Gasolina","Posto"
"f53fbbf2af08ed10141ed4a8e6e4dc13","PJ","Apucarana","PR","Bares e Restaurantes","Alimentação"
"dd2e8f5d1ec8f02f8c9edc43f202f0eb","PJ","Belo Horizonte","MG","None","Outros"
"b46afd770d25beeec0b4b6d0ead45d0b","PJ","Caxias do Sul","RS","Bares e Restaurantes","Alimentação"
"73606464d42122d0b7ae3498ebca7b5d","MEI","Goiânia","GO","Alimentação Rápida","Alimentação"
"34572276fe03766e9d19dfe6556cfd47","MEI","Caxias do Sul","RS","Automotivo","Serviços"
"60c61c5a3857f83d93254a44c030faee","PJ","Brasília","DF","Outros","Serviços"
"30510234c98cae3d72eaf61cdc14b964","MEI","Curitiba","PR","Outros","Serviços"
"7d48bcc19772284901a28bce22050e08","MEI","Limeira","SP","Alimentação Rápida","Alimentação"
"3e2b5251a27586cb6b3c0ab84f7ee96d","PJ","Florianópolis","SC","Alimentação Rápida","Alimentação"
"082da8d281083207d55dd851d240477c","PF","Rio Das Ostras","RJ","Alimentação Rápida","Alimentação"
"cf0cd1eb93bc2e0855a35d63a654ca26","PF","Brasília","DF","Lojas Diversas","Varejo"
"1272a327fb3e33aa3a37c8fd5fa7c915","PJ","Nova Iguaçu","RJ","Outros","Serviços"
"e2ce480982f790fcbafe534cf59dcc81","PJ","Rio Claro","SP","Material de Construção","Bens duráveis"
"a7b5d8784b1fd503c160cd83b76926cd","PJ","Várzea Grande","MT","Bares e Restaurantes","Alimentação"
"f27335282c5a580b58b48035b4895a47","PJ","Londrina","PR","Vestuário","Varejo"
"52b2884725612cda129b6712a56b5c70","MEI","Rio de Janeiro","RJ","Alimentação Rápida","Alimentação"
"cec4f342a8c13e5f1a4b35ebb0fa1967","MEI","Pitangui","MG","Bares e Restaurantes","Alimentação"
"9ae0cd82778be85d8263abac77244fa6","PF","Jaraguá","GO","Lojas Diversas","Alimentação"
"2c3ba0d9077ff25283941db06baa2ce8","PJ","Telêmaco Borba","PR","Lazer & Turismo","Viagens e entretenimento"
"ecaba2b2ac60aae004439cb356892afa","MEI","Campinas","SP","Alimentação Rápida","Alimentação"
"3634422ea5184505b02a1ab35fc3a89b","PJ","Campinas","SP","Vestuário","Varejo"
"b83288c23f5247107e1659fbc63dc87a","PF","Itaquaquecetuba","SP","Atacadistas Gerais","Bens duráveis"
"0f0f0f592682fd387e7415f447732a86","MEI","Palestina","SP","Vestuário","Varejo"
"83e0560a08a9783208d39104cdff8904","MEI","Rio de Janeiro","RJ","Alimentação Rápida","Alimentação"
"a71d6c05833ea32598087becf712d3b3","PJ","São Paulo","SP","Lojas Diversas","Alimentação"
"744838ee2aa932accf9e755392671b2b","MEI","Palestina","SP","Supermercados","Supermercado/Farmácia"
"e9dcd79991e21a90af5118d43ec74fbd","PJ","Campinas","SP","Educação","Serviços recorrentes"
"8b8b52a6186b06cb2e15d7e5e56dc49d","PJ","Juiz de Fora","MG","Alimentação Rápida","Alimentação"
"780a698885607aee8bbbe10f0ae9af4e","PJ","Muriaé","MG","Alimentação Rápida","Alimentação"
"9db0e7c404ee47974c63413b94c079fe","PJ","Belo Horizonte","MG","Material de Construção","Bens duráveis"
"8aa9152b9791e96a451506a193d0832e","MEI","Belém","PA","Alimentação Rápida","Alimentação"
"b9a617faece755fb6b74706fdb15f5fa","PJ","Embu-Guaçu","SP","Automotivo","Bens duráveis"
"36575ea2c6b1559ff06947fb09eb9459","PJ","Porto Alegre","RS","Outros","Serviços"
"2c2852bff246e26ca17a1aa0c6b16189","PJ","Recife","PE","Lojas Diversas","Varejo"
"2b3a13d41769e501c6d754cf13fd1cf2","MEI","Cabedelo","PB","Outros","Serviços"
"f82621395c81f6d4a1220f22a1e79455","MEI","Brasília","DF","Lojas Diversas","Bens duráveis"
"105ef5e2a129506af5d684e6fc7df325","PJ","Itu","SP","Automotivo","Serviços"
"b8446709c304ce0c46c74bad6898ce70","PJ","Santana de Parnaíba","SP","Supermercados","Alimentação"
"f6aab65f0d2768111b27f8829468805e","MEI","Itanhaém","SP","Bares e Restaurantes","Alimentação"
