,contrato_id,quantidade_campanhas_total,engajamento_boleano,segmento
0,000180509391a5ac66ff83cae603ffb8,2.0,0,Alimentação
1,000c35a61297edadc2842f6d5b4028e1,12.0,0,Varejo
2,000dcdc93a545ee45a1aee85ef85c34a,35.0,0,Bens duráveis
3,0014cccd47b66a47af4e62c4dcbe95f1,11.0,1,Varejo
4,001621e2d725ab3d3773692745be79b2,9.0,1,Serviços recorrentes
5,00208e68789d39fbdf3f16597d2e9794,13.0,0,Alimentação
6,0024e3d24e30f0cecd7880e59f1eaab5,40.0,0,Serviços
7,002ad4fcb555ef204cabddbcf358d657,5.0,0,Viagens e entretenimento
8,002ca102ee148d919f3bfae3885cdcfd,2.0,0,Bens duráveis
9,0030fb89b2733e42144ebbdafcb4ff74,1.0,0,Bens duráveis
10,00390c6d4fd287d93efdd7a4a26c543c,20.0,0,Alimentação
11,00403d9e2059b067f2723caf776e97d8,2.0,0,Alimentação
12,00444b1863e7fdb2a6e63f2a866d0184,16.0,0,Bens duráveis
13,0049a81b4e7af1b5eb0006c730afe0e4,38.0,1,Varejo
14,005a0befce4ae9fba84ee3d7c256b59b,3.0,0,Serviços
15,006179e504cf6e167261122484692f0b,37.0,1,Alimentação
16,00677f14c8e92c0bf800458536ef178c,1.0,0,Bens duráveis
17,007432339e3cf10a14800b37535c58db,22.0,0,Bens duráveis
18,007f1118f0ef2f7751b269c82380cb63,16.0,0,Serviços
19,008149b946fd3834091f91fedfd57be9,12.0,0,Serviços recorrentes
20,0082e98cd3ba9e184a41f2b0ba6909e0,44.0,1,Varejo
21,00984062cbd84f5e475b31c35fd70423,7.0,0,Alimentação
22,009e49a2c971611cbb485331a9d15bf3,1.0,0,Alimentação
23,00a20ce6b16ef5882b3331543f26e30b,53.0,1,Bens duráveis
24,00a294cf586b61bec5b6834be5037602,32.0,0,Alimentação
25,00a77c658fcb10bc0283fea879c86477,11.0,0,Alimentação
26,00af78adb4803c8e23eb482281e75ac7,31.0,1,Alimentação
27,00b5642d31ffa47cc5ceb291ab90c153,23.0,0,Alimentação
28,00b5754990d1cab099bde4841e319229,41.0,1,Alimentação
29,00c3404b5409ce1d896d096a54e9c12f,14.0,0,Varejo
30,00c8fcbc99042b45ffd45c47d7e499ad,17.0,1,Alimentação
31,00ca1f410526391269d687f2ebb53e91,18.0,1,Alimentação
32,00ceef04f5519d6abd6fab11cfb9a454,17.0,0,Varejo
33,00d239f677d708175654832522b7389a,1.0,0,Serviços
34,00d417dd524f7f19197d8aba52d43fce,4.0,0,Alimentação
35,00d86c807167dabb7f8df6623e594bdc,32.0,1,Alimentação
36,00db436cee9a141624b17b0cd94e433d,2.0,0,Serviços
37,00e21164f6ca57c4d6a6faf19b0e5d78,4.0,1,Alimentação
38,00ea54799ea16a2fc3e8ed10f751321d,2.0,0,Bens duráveis
39,00f5f7bfaed414e973e41e4d958aff74,10.0,0,Alimentação
40,00f9595a6727813ba33fec1d0138dbdf,1.0,0,Alimentação
41,00ff754c10a25483a0548a1b216bf205,14.0,0,Bens duráveis
42,0103ffdace8cb670b172af45688243e4,6.0,0,Bens duráveis
43,01047210d6a8cb1f6710b51657139a10,10.0,0,Alimentação
44,01061dd64395e44455fa01bc42e31cee,6.0,0,Supermercado/Farmácia
45,0109577ef0c9a76ff32054ac890f42a5,77.0,1,Serviços
46,011a1d8a71af0865355db285742666e3,29.0,1,Alimentação
47,011daba99d2e137700e4bbde5ae3a8cc,1.0,0,Alimentação
48,0129ad36c2887cadf989c97ba9a1f18a,13.0,1,Serviços
49,012a0abdb86a4396b0a06d2cc505055b,12.0,0,Serviços
50,0137fd1ddbeae32ad4a6302fbaf48982,13.0,1,Varejo
51,01382343bc15b9a02c3861d0861a1bb7,19.0,0,Alimentação
52,013b707a172241de3f5fc419b956d457,1.0,0,Alimentação
53,0142c1f4b7662cf5963c5cb162e3ee3a,68.0,1,Viagens e entretenimento
54,0150136ac3ce41a4623c76291171612f,5.0,0,Supermercado/Farmácia
55,015642c452bcfe8e1581b023262943d3,20.0,1,Varejo
56,0157145086a3955e13ac040530eb660f,9.0,0,Varejo
57,015a12b3cb6f2c9f51824d9115900c5c,1.0,0,Bens duráveis
58,0164b6c28fed7e03ce82e70a86d14cb4,11.0,0,Alimentação
59,01652ddafbbf4c0f47637a8d52dd86cd,25.0,0,Serviços recorrentes
60,0166d07333bea0755edff5c2a014252d,28.0,1,Alimentação
61,016adb5a87bb2c82bedd2f2119a4b564,29.0,1,Serviços
62,016d73933434139cc8dd8c92b3d48ab2,4.0,0,Alimentação
63,01758143f6d865721bbf4a46ea52c2a8,11.0,1,Supermercado/Farmácia
64,0177bac3c93281e9b699c7b130cb4080,50.0,1,Serviços
65,0179c7f4ea590897bac95ceb23245947,49.0,1,Alimentação
66,0179cb6fa5f12cf7568da3c9b50ac7b0,15.0,0,Alimentação
67,017e0446ac5511d1bc5103004865aaf3,18.0,0,Alimentação
68,018435505498d827c92a8668aaf48f33,20.0,1,Alimentação
69,0189c200149629e789fae6311afcda74,16.0,1,Bens duráveis
70,018b0c77839fe198791737d6f72e883f,1.0,0,Bens duráveis
71,018ebfd7e8a1e52610270909707b2762,1.0,0,Alimentação
72,019744e958978b4f75ddbc42e1844578,20.0,0,Bens duráveis
73,0198429fb1df466ac05206885dd3b3d7,71.0,1,Alimentação
74,019ac3cb941c2a06aef883e565c671b9,7.0,0,Varejo
75,01a10126fd4ead78330aa620efbda517,45.0,1,Varejo
76,01b479eb5383089bf42f48e4c6040455,40.0,1,Alimentação
77,01b6c3d4409bcfeb339ca8baaea7c929,18.0,0,Posto
78,01bca308a3b469c92c766cc4a61357e4,52.0,0,Varejo
79,01bf70a6546afb0cae30b90c5ea9a093,23.0,0,Varejo
80,01bfb47af59aafdb8a1566608bca40af,10.0,1,Posto
81,01c71337de86858efed3984a3a0d027f,27.0,0,Alimentação
82,01ca68304b0bbbd338256f7952d45a82,27.0,0,Alimentação
83,01d1252c456ee6f7321b19062ca8497e,28.0,1,Alimentação
84,01db17db12cff17bb48968402fb07cae,9.0,0,Alimentação
85,01e7796e46558649bd456d9c2d02e173,33.0,1,Bens duráveis
86,01ee34d5a2213310af061b6b73ab5d68,45.0,0,Bens duráveis
87,01f056e0de2b9f0f145552d04c92036b,7.0,0,Serviços
88,01f3f0d16dfecc5388a7fa10facc7a0d,13.0,1,Bens duráveis
89,01f494311c289280aab845bdd0e30934,43.0,0,Supermercado/Farmácia
90,01ffedb71057670fe8737ce552a6893a,9.0,1,Alimentação
91,02031eb099e3d3735534dec81b734848,43.0,1,Alimentação
92,020c76be6e98532fa44fadb52e68dc39,19.0,0,Alimentação
93,021399471e7a9b2d6b5272b439583538,7.0,0,Serviços
94,0218ed9c941ffed00549ec4181ff86e3,20.0,0,Alimentação
95,021f76d744c017274b9a0e5f37b05fa3,9.0,0,Alimentação
96,021ff49981fb6e367e32772274760e02,6.0,0,Alimentação
97,0225798c5130522b09d9444cca190144,45.0,0,Alimentação
98,022c5035df0924f78b2e0311f9b04d2a,6.0,0,Serviços recorrentes
99,022f4306aa166df406ad0c39e23a02f0,2.0,0,Bens duráveis
100,02327afb932f1585efa149be8da6c996,9.0,0,Alimentação
101,023eff8d5d822aa109a3dca599ecc4ea,15.0,1,Varejo
102,0243bd2785ff96b02c88694a2c9c2be9,3.0,0,Alimentação
103,024a24ae831f7816b126f30a174f4f6c,72.0,0,Serviços recorrentes
104,024ca3e90bb41ddb83f7be9c4179d19d,6.0,0,Alimentação
105,025767579bb95fd8b327df4533d63560,4.0,0,Supermercado/Farmácia
106,025da346838f01b54a29ca3e1b0db203,1.0,0,Varejo
107,026144821911fdb1d6e6a2735422b4cd,28.0,0,Bens duráveis
108,0263bd6a141706052afc357a6ba3a4e6,5.0,0,Serviços
109,026451ee1ec73e0a543859a1521d733a,23.0,0,Serviços
110,0267f593b22e6882a6748d11d3420be0,10.0,1,Bens duráveis
111,026a57e672d704f5e60ff7340df3deb7,12.0,0,Supermercado/Farmácia
112,02844b7e03ad12cdde1e45912e0c9139,23.0,1,Varejo
113,02890ac323f7c2e55b326e4798f08bea,9.0,1,Alimentação
114,028b530a638d4ccdfc9ab0e1ef2dcb2d,9.0,0,Serviços
115,029203e4cb9f7cfcb969def41d7eff12,9.0,1,Alimentação
116,029d66c1bc3d1128aee493abed5aa9f7,1.0,0,Varejo
117,02a0fac852ecb565e7cc5b2bb5025cd3,12.0,0,Supermercado/Farmácia
118,02a22b0e84e4543e1bd075d13cd8abea,40.0,1,Serviços
119,02a24469fabc925b7e0e202876f7ad64,36.0,0,Serviços
120,02a38140996447f51dd8215f35ec26c8,2.0,0,Serviços
121,02a608dde27d2f40ba2624fc37ce2be4,18.0,0,Posto
122,02a7b236ae2ee5e4496b2d9983a869ab,21.0,0,Varejo
123,02a7f46a14e1041a86dd337fcf6be465,51.0,1,Varejo
124,02a8b07937605a3e52ed43ecb34c0f39,6.0,0,Serviços
125,02a92d3d84b05474a2db3dee6a999162,76.0,0,Alimentação
126,02abba7a17ec9f8e7e0b98d30aec9416,9.0,1,Alimentação
127,02ad453c9f82a07c107782a7a8c3eb85,38.0,1,Bens duráveis
128,02af9f55448c406e5f1813d308dc19bf,6.0,0,Alimentação
129,02b5503f034688e99d2b6975d882ec14,12.0,1,Serviços
130,02bcc0d9546e576a65cec0b06f5709b7,8.0,0,Alimentação
131,02bd7f7d7cfe4c063317639c7d9dd329,14.0,1,Alimentação
132,02c1fd1f25693d9b1adce5284e2810b4,23.0,1,Alimentação
133,02c462a8a5e337d4c4b21e01c001776c,19.0,1,Posto
134,02c73dac5667bf3815a07e717041132c,41.0,0,Bens duráveis
135,02d1cae67b53f438df01c669041e3760,38.0,0,Serviços
136,02dcbe1e7d8d8406dce3898f09512fcb,2.0,0,Alimentação
137,02dcf343a40b3e45cbe4f3b6ec6916b6,4.0,0,Alimentação
138,02dd6ab881f433358ccfddfe830fbc35,9.0,0,Serviços recorrentes
139,02e490957b393334a810d7190a515ec1,6.0,0,Varejo
140,02e5b668f58fab31383320e5d4348d37,14.0,1,Alimentação
141,02fab8abcba523d4f331d4f7237a7dc1,29.0,1,Varejo
142,03030a46b3c6afb1a74fc9cf30d7bccd,3.0,0,Bens duráveis
