,contrato_id,quantidade_campanhas_total,engajamento
0,000180509391a5ac66ff83cae603ffb8,2.0,0
1,000c35a61297edadc2842f6d5b4028e1,12.0,0
2,000dcdc93a545ee45a1aee85ef85c34a,35.0,0
3,0014cccd47b66a47af4e62c4dcbe95f1,11.0,34
4,001621e2d725ab3d3773692745be79b2,9.0,4
5,00208e68789d39fbdf3f16597d2e9794,13.0,0
6,0024224b38ef536444919d635d07fa6e,,0
7,0024e3d24e30f0cecd7880e59f1eaab5,40.0,0
8,002ad4fcb555ef204cabddbcf358d657,5.0,0
9,002ca102ee148d919f3bfae3885cdcfd,2.0,0
10,0030fb89b2733e42144ebbdafcb4ff74,1.0,0
11,00313b90845311ddbe123fe2c67f2e59,,0
12,00390c6d4fd287d93efdd7a4a26c543c,20.0,0
13,00403d9e2059b067f2723caf776e97d8,2.0,0
14,00444b1863e7fdb2a6e63f2a866d0184,16.0,0
15,0049a81b4e7af1b5eb0006c730afe0e4,38.0,334
16,0058cef892576e02cc9198fc599247ce,,0
17,005a0befce4ae9fba84ee3d7c256b59b,3.0,0
18,006179e504cf6e167261122484692f0b,37.0,54
19,00677f14c8e92c0bf800458536ef178c,1.0,0
20,00691b946d6ef11330d8dd87c4c52540,,0
21,0071f1d200150ec52b10a4870efe54a8,,0
22,007432339e3cf10a14800b37535c58db,22.0,0
23,007f1118f0ef2f7751b269c82380cb63,16.0,0
24,008149b946fd3834091f91fedfd57be9,12.0,0
25,0082e98cd3ba9e184a41f2b0ba6909e0,44.0,13
26,00984062cbd84f5e475b31c35fd70423,7.0,0
27,009bd07a7a5da4bf8a5840f0d2847c79,,0
28,009e49a2c971611cbb485331a9d15bf3,1.0,0
29,00a20ce6b16ef5882b3331543f26e30b,53.0,83
30,00a294cf586b61bec5b6834be5037602,32.0,0
31,00a77c658fcb10bc0283fea879c86477,11.0,0
32,00af78adb4803c8e23eb482281e75ac7,31.0,5
33,00b49c1ef17ad6e50044a97a556a6a1d,,0
34,00b516e2236f575fec4e5acffed289db,,0
35,00b5642d31ffa47cc5ceb291ab90c153,23.0,0
36,00b5754990d1cab099bde4841e319229,41.0,27
37,00b8140d57346be5f9ffaea84f398c8d,,0
38,00c3404b5409ce1d896d096a54e9c12f,14.0,0
39,00c8fcbc99042b45ffd45c47d7e499ad,17.0,5
40,00ca1f410526391269d687f2ebb53e91,18.0,19
41,00ceef04f5519d6abd6fab11cfb9a454,17.0,0
42,00d239f677d708175654832522b7389a,1.0,0
43,00d417dd524f7f19197d8aba52d43fce,4.0,0
44,00d86c807167dabb7f8df6623e594bdc,32.0,42
45,00dae6d75cbd329ae246294b7e82f09c,,0
46,00db436cee9a141624b17b0cd94e433d,2.0,0
47,00e21164f6ca57c4d6a6faf19b0e5d78,4.0,17
48,00ea54799ea16a2fc3e8ed10f751321d,2.0,0
49,00f1d90aea0a4a7daab772f0bd65106d,,0
50,00f5f7bfaed414e973e41e4d958aff74,10.0,0
51,00f80f37bbf6edeaf37f2fbb89a9a939,,0
52,00f9595a6727813ba33fec1d0138dbdf,1.0,0
53,00ff754c10a25483a0548a1b216bf205,14.0,0
54,0103ffdace8cb670b172af45688243e4,6.0,0
55,01047210d6a8cb1f6710b51657139a10,10.0,0
56,01061dd64395e44455fa01bc42e31cee,6.0,0
57,0109577ef0c9a76ff32054ac890f42a5,77.0,4
58,011a1d8a71af0865355db285742666e3,29.0,122
59,011daba99d2e137700e4bbde5ae3a8cc,1.0,0
60,0129ad36c2887cadf989c97ba9a1f18a,13.0,4
61,012a0abdb86a4396b0a06d2cc505055b,12.0,0
62,0137fd1ddbeae32ad4a6302fbaf48982,13.0,146
63,01382343bc15b9a02c3861d0861a1bb7,19.0,0
64,013b707a172241de3f5fc419b956d457,1.0,0
65,0142c1f4b7662cf5963c5cb162e3ee3a,68.0,28
66,014c62d9e35d0282b94650e87b7bc23e,,0
67,0150136ac3ce41a4623c76291171612f,5.0,0
68,015642c452bcfe8e1581b023262943d3,20.0,161
69,0157145086a3955e13ac040530eb660f,9.0,0
70,015a12b3cb6f2c9f51824d9115900c5c,1.0,0
71,0164b6c28fed7e03ce82e70a86d14cb4,11.0,0
72,01652ddafbbf4c0f47637a8d52dd86cd,25.0,0
73,0166d07333bea0755edff5c2a014252d,28.0,14
74,016adb5a87bb2c82bedd2f2119a4b564,29.0,140
75,016d73933434139cc8dd8c92b3d48ab2,4.0,0
76,01758143f6d865721bbf4a46ea52c2a8,11.0,53
77,0177bac3c93281e9b699c7b130cb4080,50.0,28
78,0179c7f4ea590897bac95ceb23245947,49.0,31
79,0179cb6fa5f12cf7568da3c9b50ac7b0,15.0,0
80,017a76d437156b2623e3082198a5efcb,,0
81,017e0446ac5511d1bc5103004865aaf3,18.0,0
82,018435505498d827c92a8668aaf48f33,20.0,266
83,0189c200149629e789fae6311afcda74,16.0,14
84,018b0c77839fe198791737d6f72e883f,1.0,0
85,018ebfd7e8a1e52610270909707b2762,1.0,0
86,019744e958978b4f75ddbc42e1844578,20.0,0
87,0198429fb1df466ac05206885dd3b3d7,71.0,17
88,019ac3cb941c2a06aef883e565c671b9,7.0,0
89,01a10126fd4ead78330aa620efbda517,45.0,110
90,01a5f4fa3bcf7d7345286062d3f4cad8,,0
91,01b2a7e5449b7cc50ac94e079133b862,,0
92,01b479eb5383089bf42f48e4c6040455,40.0,399
93,01b6c3d4409bcfeb339ca8baaea7c929,18.0,0
94,01bca308a3b469c92c766cc4a61357e4,52.0,0
95,01bf70a6546afb0cae30b90c5ea9a093,23.0,0
96,01bfb47af59aafdb8a1566608bca40af,10.0,444
97,01c71337de86858efed3984a3a0d027f,27.0,0
98,01ca68304b0bbbd338256f7952d45a82,27.0,0
99,01d1252c456ee6f7321b19062ca8497e,28.0,136
100,01db17db12cff17bb48968402fb07cae,9.0,0
101,01dd5b163b45dc6c4c0b190226afcc48,,0
102,01e7796e46558649bd456d9c2d02e173,33.0,270
103,01ee34d5a2213310af061b6b73ab5d68,45.0,0
104,01f056e0de2b9f0f145552d04c92036b,7.0,0
105,01f3f0d16dfecc5388a7fa10facc7a0d,13.0,7
106,01f494311c289280aab845bdd0e30934,43.0,0
107,01ffedb71057670fe8737ce552a6893a,9.0,45
108,02031eb099e3d3735534dec81b734848,43.0,11
109,020ab74c2094183ed19fe6cdb02de1f3,,0
110,020c76be6e98532fa44fadb52e68dc39,19.0,0
111,021399471e7a9b2d6b5272b439583538,7.0,0
112,0218ed9c941ffed00549ec4181ff86e3,20.0,0
113,021f76d744c017274b9a0e5f37b05fa3,9.0,0
114,021ff49981fb6e367e32772274760e02,6.0,0
